seed,gap_collective,gap_local_fixed,gamma_local_matched,gap_local_matched,rel_gap_error
64000,0.07530161826775428,0.46374285301221324,0.13215808895645087,0.07519510104818528,-0.0014145409092040082
64001,0.24407264898181094,0.374309567340992,0.5376117474555825,0.244237128957665,0.0006738976142563068
64002,0.16874316734197567,0.3843479985003421,0.2436232598151701,0.16864568784487452,-0.0005776796692668276
64003,0.10132559453352664,0.7870217845884122,0.11863661590503344,0.10135914294804539,0.00033109516576926187
64004,0.23576332837547193,0.6120177374320215,0.3428911293575136,0.23622263369250954,0.0019481626773869224
64005,0.19713587074534666,0.7244439147143603,0.23082415267613662,0.19677953141409973,-0.001807582404458683
64006,0.2664149824560927,0.4900141203123398,0.3819717549283665,0.2663368205618418,-0.0002933840038960375
64007,0.13787586962684115,0.6461535380448713,0.17000776188228733,0.1374799012565168,-0.0028719192952039625
64008,0.2245981307778155,0.4027634955152723,0.3924189758484536,0.2243985707620236,-0.000888520376820617
64009,0.06074019180388719,0.741705107870793,0.0632093391750767,0.06070717744632099,-0.0005435339696127017
64010,0.16896584687251115,0.7135262337264692,0.22467900918126446,0.16920924451635477,0.0014405138573789593
64011,0.2632089735027173,0.5336594554661472,0.44910071862894296,0.2624986494815561,-0.002698707463155281
64012,0.24562713291164892,0.40593372440194975,0.5424690937011326,0.24624622370163224,0.002520449523001199
64013,0.20555316491181355,0.4204803170870022,0.27881266654131337,0.20604815423987616,0.0024080841969763224
64014,0.09304560315201678,0.36517296097799495,0.1810558243027122,0.09320917392900936,0.0017579635302631463
64015,0.2730870790940508,0.3665768522072951,0.6264335366568856,0.27213308651098056,-0.0034933640443005516
64016,0.016095225415805832,0.6058099910254835,0.021479850285170087,0.016064944711432067,-0.001881347020093829
64017,0.30898133677471734,0.5777658195333972,0.4958068241684656,0.30877364762391873,-0.0006721737725862576
64018,0.24803561200975766,0.47215933426399426,0.3050527890267026,0.24790523091917752,-0.0005256547216091305
64019,0.22854145114692623,0.3812983665088401,0.4531583637600818,0.22825595123404088,-0.0012492259563968604
64020,0.19482877917678854,0.49138268590335693,0.26416483203860924,0.19520222953631824,0.0019168131171773055
64021,0.23919683641411105,0.41491270738468966,0.4293510210083482,0.23873071449503308,-0.0019486960031151494
64022,0.1685318845229859,0.6402927441506383,0.23713737056616555,0.16780916622972997,-0.004288317877068299
64023,0.1631453410485801,0.6088534273173348,0.24144182212566395,0.16386322651992935,0.004400281777801259
