seed,label,delay,capacity
64000,collective,1,0.9998278860551968
64000,collective,2,0.9986893348357836
64000,collective,3,0.9955860999410198
64000,collective,4,0.9858819514463307
64000,collective,5,0.9638261496659571
64000,collective,6,0.9229037510612724
64000,collective,7,0.802833799116786
64000,collective,8,0.7319721728193868
64000,collective,9,0.6883868788373142
64000,collective,10,0.6695147109074876
64000,collective,11,0.5716409888785583
64000,collective,12,0.5260870790781249
64000,collective,13,0.435753975115353
64000,collective,14,0.33101367454564534
64000,collective,15,0.39279825493701637
64000,collective,16,0.3195547275821112
64000,collective,17,0.3363048153351704
64000,collective,18,0.30859243863846475
64000,collective,19,0.10718095467968036
64000,collective,20,0.11789297106301466
64000,local_fixed,1,0.9998471542143132
64000,local_fixed,2,0.9991682806449202
64000,local_fixed,3,0.9981204479361617
64000,local_fixed,4,0.9938035647109498
64000,local_fixed,5,0.9708625574023645
64000,local_fixed,6,0.9233322322421783
64000,local_fixed,7,0.8383985594586283
64000,local_fixed,8,0.6418272545230853
64000,local_fixed,9,0.4301585655597154
64000,local_fixed,10,0.3563099149284313
64000,local_fixed,11,0.21073111570144415
64000,local_fixed,12,0.16541755121354
64000,local_fixed,13,0.13849109697290055
64000,local_fixed,14,0.08940214321741988
64000,local_fixed,15,0.06623858300740573
64000,local_fixed,16,0.04024422783136956
64000,local_fixed,17,0.029593106266817812
64000,local_fixed,18,0.008106651348581094
64000,local_fixed,19,0.002970504611633443
64000,local_fixed,20,0.0018225624334910432
64000,local_gap_matched,1,0.9738972644700021
64000,local_gap_matched,2,0.9410924800538021
64000,local_gap_matched,3,0.9156890150572565
64000,local_gap_matched,4,0.9155828763991818
64000,local_gap_matched,5,0.8286915516033074
64000,local_gap_matched,6,0.6650885476856062
64000,local_gap_matched,7,0.8206553274262292
64000,local_gap_matched,8,0.7672105679189966
64000,local_gap_matched,9,0.7939350409314235
64000,local_gap_matched,10,0.643486839901127
64000,local_gap_matched,11,0.5688327325302107
64000,local_gap_matched,12,0.6270666161491117
64000,local_gap_matched,13,0.5117834471113484
64000,local_gap_matched,14,0.4570461211926629
64000,local_gap_matched,15,0.43779913487388256
64000,local_gap_matched,16,0.4393281847431466
64000,local_gap_matched,17,0.3306463152294584
64000,local_gap_matched,18,0.23661163328072302
64000,local_gap_matched,19,0.19684145024671754
64000,local_gap_matched,20,0.3095261125436371
64001,collective,1,0.999753353055892
64001,collective,2,0.9987755419989234
64001,collective,3,0.9956532004798617
64001,collective,4,0.9908306310339221
64001,collective,5,0.9845811146680024
64001,collective,6,0.9710707373487176
64001,collective,7,0.9264649504982363
64001,collective,8,0.8498118062608087
64001,collective,9,0.779353301113763
64001,collective,10,0.7224581519788461
